Name	Staphylococcaceae	Enterobacteriaceae	Enterococcaceae	Bacillaceae	Moraxellaceae	Pseudomonadaceae	Actinomycetaceae	Morganellaceae	Streptococcaceae	Campylobacteraceae	Corynebacteriaceae	Burkholderiaceae	Aerococcaceae	Yersiniaceae	Flavobacteriaceae	Bacteroidaceae	Paenibacillaceae	Bacillales_unclassified	Pasteurellaceae	Eggerthellaceae	family	sra_abundance
SRR1655521	27.40772	72.59228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	27.41
SRR1656295	44.06945	55.93055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	44.07
SRR1656353	39.52543	60.37548	0.04633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05276	0	0	Enterobacteriaceae	60.38
SRR1656369	99.94351	0	0.05649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	0
SRR1763652	96.82034	0.06191	0	0	0	0	0	2.52116	0.5691	0	0.02749	0	0	0	0	0	0	0	0	0	Staphylococcaceae	96.82
SRR1814818	99.5945	0.4055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	0.41
SRR3000889	0	0.0473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.9527	0	Enterobacteriaceae	0.05
SRR3466133	9.7812	90.2188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	90.22
SRR3545468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	0
SRR3545487	13.87099	86.12901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	13.87
SRR3545489	73.10885	26.89115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	73.11
SRR3545492	30.74948	69.25052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	30.75
SRR3545496	64.63526	35.36474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	64.64
SRR3545497	99.54135	0.45865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	99.54
SRR4788311	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	100
SRR4897106	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	100
SRR4897675	0	76.55506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.44494	Enterobacteriaceae	76.56
SRR4897699	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	100
SRR4897780	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	100
SRR497016	8.58465	78.44877	12.96658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	78.45
SRR497543	94.21366	0.52322	5.26312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	94.21
SRR5034995	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	100
SRR5035004	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	100
SRR576621	8.16215	79.83954	11.99832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	79.84
SRR576623	8.32207	79.41853	12.2594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	79.42
SRR576625	8.16208	79.97569	11.86222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	79.98
SRR576627	8.5997	79.44641	11.9539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	79.45
SRR576629	7.90044	80.94063	11.15893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	80.94
SRR576630	8.51231	79.64292	11.84477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	79.64
SRR576632	8.26855	79.75345	11.97799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	79.75
