Name	Staphylococcaceae	Enterobacteriaceae	Enterococcaceae	Bacillaceae	Moraxellaceae	Pseudomonadaceae	Actinomycetaceae	Morganellaceae	Streptococcaceae	Corynebacteriaceae	Flavobacteriaceae	Bacteroidaceae	Pasteurellaceae	Eggerthellaceae	sra_abundance	family	SRA_Agreement
SRR1149009	1	0	0	0	0	0	0	0	1	0	0	0	0	0	92.9	Streptococcaceae	80-95%
SRR1149243	1	0	0	0	0	0	0	0	1	0	0	0	0	0	92.31	Streptococcaceae	80-95%
SRR1149249	0	0	0	0	0	0	0	0	1	0	0	0	0	0	95.73	Streptococcaceae	95-100%
SRR1149267	0	0	0	0	0	0	0	0	1	0	0	0	0	0	98.68	Streptococcaceae	95-100%
SRR1149275	0	0	0	0	0	0	0	0	1	0	0	0	0	0	95.2	Streptococcaceae	95-100%
SRR1149278	1	0	0	0	0	0	0	0	1	0	0	0	0	0	92.96	Streptococcaceae	80-95%
SRR1149286	0	0	0	0	0	0	0	0	1	0	0	0	0	0	96.77	Streptococcaceae	95-100%
SRR1149291	0	0	0	0	0	0	0	0	1	0	0	0	0	0	97.21	Streptococcaceae	95-100%
SRR1172621	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.2	Staphylococcaceae	Mismatch
SRR1175239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.22	Staphylococcaceae	Mismatch
SRR136564	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	Mismatch
SRR1522511	1	0	0	0	0	0	0	0	0	1	0	0	0	0	93.77	Staphylococcaceae	80-95%
SRR1522630	1	0	0	0	0	0	0	0	0	0	0	0	0	0	99.7	Staphylococcaceae	95-100%
SRR1655262	1	1	0	0	0	0	0	0	0	0	0	0	0	0	94.22	Staphylococcaceae	80-95%
SRR1655268	1	1	0	0	0	0	0	0	0	0	0	0	0	0	94.77	Staphylococcaceae	80-95%
SRR1655284	1	1	0	0	0	0	0	0	0	0	0	0	0	0	74.62	Staphylococcaceae	5-80%
SRR1655521	1	1	0	0	0	0	0	0	0	0	0	0	0	0	27.41	Staphylococcaceae	5-80%
SRR1656295	1	1	0	0	0	0	0	0	0	0	0	0	0	0	44.07	Staphylococcaceae	5-80%
SRR1656353	1	1	0	0	0	0	0	0	0	0	0	0	0	0	60.38	Enterobacteriaceae	5-80%
SRR1656369	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	Mismatch
SRR1763652	1	0	0	0	0	0	0	0	0	0	0	0	0	0	96.82	Staphylococcaceae	95-100%
SRR1814818	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	Enterobacteriaceae	Mismatch
SRR3000889	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.05	Enterobacteriaceae	Mismatch
SRR3466133	1	1	0	0	0	0	0	0	0	0	0	0	0	0	90.22	Enterobacteriaceae	80-95%
